Ano da pesquisa;População(pessoas);Unidade da Federação;UF
2022;830018;Acre;AC
2022;3127683;Alagoas;AL
2022;733759;Amapá;AP
2022;3941613;Amazonas;AM
2022;14141626;Bahia;BA
2022;8794957;Ceará;CE
2022;2817381;Distrito Federal;DF
2022;3833712;Espírito Santo;ES
2022;7056495;Goiás;GO
2022;6776699;Maranhão;MA
2022;2757013;Mato Grosso do Sul;MS
2022;3658649;Mato Grosso;MT
2022;20539989;Minas Gerais;MG
2022;8120131;Pará;PA
2022;3974687;Paraíba;PB
2022;11444380;Paraná;PR
2022;9058931;Pernambuco;PE
2022;3271199;Piauí;PI
2022;16055174;Rio de Janeiro;RJ
2022;3302729;Rio Grande do Norte;RN
2022;10882965;Rio Grande do Sul;RS
2022;1581196;Rondônia;RO
2022;636707;Roraima;RR
2022;7610361;Santa Catarina;SC
2022;44411238;São Paulo;SP
2022;2210004;Sergipe;SE
2022;1511460;Tocantins;TO
