Ano da pesquisa;População(pessoas);Unidade da Federação;;
1872;233979;Rio Grande do Norte;;
1890;268273;Rio Grande do Norte;;
1900;274317;Rio Grande do Norte;;
1920;537135;Rio Grande do Norte;;
1940;768018;Rio Grande do Norte;;
1950;967921;Rio Grande do Norte;;
1960;1157258;Rio Grande do Norte;;
1970;1611606;Rio Grande do Norte;;
1980;1933126;Rio Grande do Norte;;
1991;2414121;Rio Grande do Norte;;
2000;2777509;Rio Grande do Norte;;
2010;3168027;Rio Grande do Norte;;
2022;3302729;Rio Grande do Norte;;
