NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N,D4C,D4N,D5C,D5N,D6C,D6N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Unidade da Federação (Código),Unidade da Federação,Ano (Código),Ano,Variável (Código),Variável,Grupo de idade (Código),Grupo de idade,Sexo (Código),Sexo,Situação do domicílio (Código),Situação do domicílio
3,Unidade da Federação,45,Pessoas,633594,11,Rondônia,1996,1996,93,População residente,0,Total,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,380119,11,Rondônia,1996,1996,93,População residente,0,Total,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,253475,11,Rondônia,1996,1996,93,População residente,0,Total,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,595712,11,Rondônia,1996,1996,93,População residente,0,Total,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,382636,11,Rondônia,1996,1996,93,População residente,0,Total,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,213076,11,Rondônia,1996,1996,93,População residente,0,Total,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,75293,11,Rondônia,1996,1996,93,População residente,1140,0 a 4 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,44835,11,Rondônia,1996,1996,93,População residente,1140,0 a 4 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,30458,11,Rondônia,1996,1996,93,População residente,1140,0 a 4 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,72199,11,Rondônia,1996,1996,93,População residente,1140,0 a 4 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,43099,11,Rondônia,1996,1996,93,População residente,1140,0 a 4 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,29100,11,Rondônia,1996,1996,93,População residente,1140,0 a 4 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,77113,11,Rondônia,1996,1996,93,População residente,1141,5 a 9 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,46497,11,Rondônia,1996,1996,93,População residente,1141,5 a 9 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,30616,11,Rondônia,1996,1996,93,População residente,1141,5 a 9 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,74242,11,Rondônia,1996,1996,93,População residente,1141,5 a 9 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,45554,11,Rondônia,1996,1996,93,População residente,1141,5 a 9 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,28688,11,Rondônia,1996,1996,93,População residente,1141,5 a 9 anos,5,Mulheres,2,Rural
3,Unidade da Federação,45,Pessoas,78920,11,Rondônia,1996,1996,93,População residente,1142,10 a 14 anos,4,Homens,0,Total
3,Unidade da Federação,45,Pessoas,47231,11,Rondônia,1996,1996,93,População residente,1142,10 a 14 anos,4,Homens,1,Urbana
3,Unidade da Federação,45,Pessoas,31689,11,Rondônia,1996,1996,93,População residente,1142,10 a 14 anos,4,Homens,2,Rural
3,Unidade da Federação,45,Pessoas,75987,11,Rondônia,1996,1996,93,População residente,1142,10 a 14 anos,5,Mulheres,0,Total
3,Unidade da Federação,45,Pessoas,47008,11,Rondônia,1996,1996,93,População residente,1142,10 a 14 anos,5,Mulheres,1,Urbana
3,Unidade da Federação,45,Pessoas,28979,11,Rondônia,1996,1996,93,População residente,1142,10 a 14 anos,5,Mulheres,2,Rural
